,match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,rad_pos1_gold,rad_pos2_gold,rad_pos3_gold,rad_pos4_gold,rad_pos5_gold,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,dire_pos1_gold,dire_pos2_gold,dire_pos3_gold,dire_pos4_gold,dire_pos5_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,7517376613,25,8,84,26,5,"[0, 357, 715, 1130, 1578, 1968, 2261, 2861, 3399, 4064, 4468, 4937, 5415, 6018, 6399, 7117, 7670, 7939, 8517, 9208, 9912, 10539, 11221, 11718, 12769]","[0, 246, 591, 895, 1255, 1499, 1823, 2117, 2411, 2876, 3486, 3784, 4322, 4773, 5383, 6011, 6585, 7247, 7980, 8308, 8403, 9349, 9872, 10530, 11037]","[0, 247, 580, 826, 1235, 1481, 1876, 2279, 2656, 2944, 3407, 4263, 4601, 5348, 5885, 5980, 6623, 7232, 7862, 8065, 8160, 8759, 9375, 9470, 10310]","[0, 170, 260, 350, 440, 827, 1051, 1141, 1278, 1368, 1593, 2076, 2166, 2261, 2609, 2704, 2834, 3702, 4056, 4214, 4309, 4640, 4806, 5091, 5451]","[0, 170, 281, 395, 559, 699, 821, 937, 1148, 1390, 1719, 1809, 1899, 2053, 2237, 2378, 2528, 2758, 2942, 3447, 3542, 3908, 4201, 4351, 4521]",12769,11037,10310,5451,4521,77,54,23,68,86,"[0, 206, 526, 1001, 1374, 1820, 2030, 2674, 3072, 3451, 4215, 4906, 5199, 5495, 5954, 6461, 7367, 8383, 9123, 9845, 10864, 11594, 12299, 12900, 14026]","[0, 243, 639, 1406, 1775, 2054, 2395, 2844, 3405, 3797, 4308, 4613, 5439, 5890, 6445, 6848, 7442, 7877, 8401, 8894, 9661, 10138, 10718, 11483, 12274]","[0, 280, 664, 857, 1274, 1724, 2283, 2807, 3266, 3614, 4215, 4747, 5246, 5751, 6200, 6544, 6765, 7198, 7656, 8577, 9307, 9763, 10478, 10832, 11486]","[0, 170, 285, 444, 578, 668, 806, 1000, 1180, 1283, 1538, 1718, 2017, 2458, 2816, 2993, 3479, 4126, 4595, 4995, 6051, 6521, 7395, 7651, 8341]","[0, 170, 285, 375, 511, 650, 740, 875, 1055, 1194, 1457, 1637, 1870, 2085, 2692, 3050, 3342, 3527, 4048, 4143, 5084, 5228, 5592, 5735, 6291]",14026,12274,11486,8341,6291,-1257,-1237,-1176,-2890,-1770,-8330,25,dire,12066.0,14138.0,10846.0,11711.0,9970.0,11089.0,5113.0,7455.0,4691.0,5662.0
1,7517420109,80,70,23,63,100,"[0, 245, 482, 901, 1226, 1720, 2196, 2613, 3126, 3656, 4014, 4528, 4977, 5336, 5917, 6395, 6848, 7327, 8373, 9297, 10054, 10486, 11137, 11806, 12258]","[0, 243, 397, 859, 1111, 1554, 2117, 2596, 3049, 3540, 4104, 4610, 5209, 5650, 6235, 6793, 7770, 8486, 9295, 10298, 10943, 11802, 12722, 13446, 14602]","[0, 244, 633, 916, 1375, 1957, 2416, 2835, 3416, 3789, 4416, 4825, 5508, 6145, 6524, 6690, 7507, 8147, 9165, 9953, 11042, 11517, 12034, 12808, 13348]","[0, 216, 331, 513, 649, 779, 914, 1004, 1219, 1309, 1756, 2115, 2559, 2654, 2798, 2893, 3194, 3554, 3854, 4275, 4622, 4716, 5056, 5330, 5425]","[0, 170, 331, 421, 511, 885, 1020, 1110, 1408, 1498, 1643, 1842, 2223, 2488, 2628, 2760, 2900, 3449, 3749, 4039, 4386, 4528, 4740, 4873, 5000]",12258,14602,13348,5425,5000,2,25,17,45,110,"[0, 209, 581, 1066, 1871, 2316, 3128, 3595, 4274, 4660, 5366, 6146, 6956, 8281, 9055, 10054, 10649, 11486, 12422, 12984, 13647, 14371, 14628, 15214, 16040]","[0, 170, 410, 740, 1025, 1332, 1593, 1938, 2183, 2739, 3308, 3845, 4458, 5380, 6276, 6947, 7714, 8515, 9174, 10029, 11021, 11688, 12988, 13825, 14583]","[0, 313, 606, 767, 1056, 1285, 1531, 1977, 2372, 2805, 3283, 3798, 4333, 4945, 5429, 5994, 6894, 7373, 8178, 8491, 8979, 9774, 10318, 10974, 11650]","[0, 170, 260, 350, 549, 639, 774, 1002, 1223, 1387, 1738, 2038, 2151, 2682, 2866, 3249, 3682, 4207, 4419, 4725, 5357, 5526, 5982, 6224, 6504]","[0, 270, 411, 501, 591, 681, 816, 996, 1086, 1424, 1728, 2084, 2222, 2614, 2798, 3738, 3975, 4389, 4758, 5093, 5492, 5769, 6060, 6227, 6634]",16040,14583,11650,6504,6634,-3782,19,1698,-1079,-1634,-4778,25,radiant,12243.0,15684.0,14073.0,14404.0,13238.0,11324.0,5469.0,6245.0,5103.0,6386.0
2,7517437309,10,104,19,45,64,"[0, 197, 439, 738, 1066, 1445, 2121, 2750, 3379, 3855, 4435, 4961, 5608, 6047, 6944, 7509, 8094, 8821, 9614, 10307, 11283, 12202, 12790, 14081, 14901]","[0, 290, 549, 944, 1402, 1785, 2309, 2676, 3152, 3554, 4027, 4319, 4878, 5442, 5849, 6219, 6536, 7560, 8085, 8727, 9323, 9891, 10151, 11688, 12305]","[0, 256, 589, 718, 1033, 1536, 1798, 2094, 2630, 2720, 3508, 4073, 4657, 5176, 5584, 5679, 6703, 7381, 8259, 8667, 9032, 9127, 9489, 10864, 11248]","[0, 173, 263, 742, 832, 969, 1207, 1400, 1688, 1830, 2022, 2345, 2698, 2984, 3521, 3616, 4229, 4697, 5113, 5504, 5891, 6219, 6575, 6912, 7304]","[0, 129, 219, 357, 496, 631, 721, 855, 990, 1080, 1358, 1448, 1701, 1962, 2260, 2355, 2719, 2814, 3679, 3836, 4425, 4720, 5130, 5224, 5454]",14901,12305,11248,7304,5454,7,67,53,71,102,"[0, 356, 826, 1268, 1545, 2033, 2482, 2857, 3265, 3841, 4145, 4632, 5162, 6245, 6690, 7219, 7897, 8298, 9388, 10404, 11069, 11978, 12681, 13426, 14465]","[0, 282, 483, 803, 1085, 1413, 1801, 2196, 2865, 3306, 4158, 4378, 4743, 5136, 5570, 6396, 7057, 7487, 8449, 9117, 9555, 9946, 10896, 11262, 11740]","[0, 246, 523, 1224, 1556, 1724, 1853, 2033, 2369, 2722, 3084, 3298, 3470, 4161, 4643, 5202, 5632, 5819, 6326, 6585, 7500, 8177, 8881, 9383, 9810]","[0, 209, 299, 684, 818, 948, 1038, 1218, 1353, 1543, 1925, 2015, 2226, 2457, 2700, 2878, 3362, 3866, 4472, 5088, 5540, 6034, 6712, 6879, 7938]","[0, 209, 299, 435, 606, 815, 1015, 1243, 1458, 1606, 1943, 2033, 2413, 2803, 3026, 3504, 4109, 4204, 4490, 4953, 5712, 6121, 6631, 6725, 6820]",14465,11740,9810,7938,6820,436,565,1438,-634,-1366,439,25,dire,14882.0,13936.0,11998.0,11800.0,11267.0,9692.0,6952.0,7221.0,5418.0,7086.0
3,7517480603,1,33,11,100,30,"[0, 242, 587, 827, 1334, 1784, 2217, 3051, 3456, 3867, 4618, 5183, 5810, 6431, 7209, 7788, 8620, 8968, 9737, 10920, 12297, 12981, 13531, 14827, 15643]","[0, 244, 898, 1268, 1718, 2173, 2632, 3024, 3418, 4234, 4879, 5331, 5828, 6160, 6843, 7419, 7960, 8999, 9427, 10380, 10677, 11496, 11630, 12029, 12443]","[0, 289, 454, 837, 1306, 1601, 1904, 2157, 2694, 3889, 4419, 4813, 5453, 5963, 6734, 7084, 7453, 7891, 8342, 8728, 9100, 9660, 10544, 10991, 11205]","[0, 169, 325, 415, 535, 670, 805, 895, 985, 1325, 1588, 1754, 1998, 2093, 2371, 2676, 3150, 3630, 3850, 4523, 5313, 5761, 6177, 6536, 6881]","[0, 169, 259, 349, 518, 652, 834, 1089, 1179, 1314, 1854, 2238, 2433, 2566, 2771, 3040, 3553, 3648, 3792, 4131, 4673, 5087, 5182, 5612, 6157]",15643,12443,11205,6881,6157,44,19,57,21,5,"[0, 242, 515, 1000, 1337, 1662, 2086, 2452, 2711, 3036, 3574, 4068, 4617, 5042, 5637, 6121, 6842, 7882, 8718, 9586, 10694, 11102, 12188, 12963, 14956]","[0, 278, 550, 1004, 1410, 1826, 2182, 2642, 2732, 2945, 3557, 3979, 4783, 5253, 5659, 7164, 8498, 8941, 9198, 9738, 10283, 11605, 12211, 12305, 13340]","[0, 204, 490, 765, 1059, 1351, 1713, 1803, 2490, 2866, 3172, 3426, 3859, 4598, 5180, 6259, 6417, 7581, 8030, 8326, 8645, 9519, 10034, 10968, 11270]","[0, 169, 398, 488, 625, 759, 945, 1035, 1125, 1476, 1746, 1836, 2072, 2644, 3095, 3335, 4037, 4686, 4866, 5023, 5911, 6632, 7078, 7621, 8060]","[0, 169, 259, 395, 533, 623, 773, 923, 1049, 1139, 1409, 1499, 1700, 2073, 2296, 2444, 2602, 2945, 3084, 3241, 3883, 4092, 4259, 4504, 4659]",14956,13340,11270,8060,4659,687,-897,-65,-1179,1498,44,25,radiant,15762.0,13553.0,12519.0,12701.0,11266.0,11405.0,6921.0,7835.0,5684.0,4852.0
4,7517522012,69,10,76,83,86,"[155, 492, 863, 1265, 1666, 2338, 2971, 3440, 4158, 4702, 5463, 5935, 6700, 7907, 8298, 8775, 9656, 10242, 11044, 12203, 12512, 13663, 15372, 15724, 16415]","[0, 261, 673, 1043, 1391, 1893, 2311, 2839, 3198, 3749, 4277, 4949, 5585, 6600, 7366, 7745, 8010, 9031, 9210, 10071, 10909, 11651, 11746, 12298, 13152]","[155, 562, 775, 1065, 1468, 1948, 2310, 2798, 3082, 3504, 4202, 4610, 5115, 5872, 6309, 6583, 6934, 7510, 8360, 8888, 9122, 9696, 10417, 10857, 11254]","[89, 414, 504, 689, 861, 999, 1138, 1488, 1654, 1843, 2768, 2858, 3355, 3866, 4413, 4703, 5018, 5407, 5869, 6610, 6967, 7378, 7622, 7901, 8147]","[0, 155, 466, 634, 1019, 1180, 1270, 1360, 1450, 1675, 1841, 2018, 2401, 3198, 3383, 3737, 3945, 4269, 4541, 4889, 5218, 5444, 5816, 6271, 6681]",16415,13152,11254,8147,6681,12,129,28,26,87,"[110, 613, 814, 1144, 1473, 1730, 1911, 2465, 2885, 3478, 3749, 4415, 4946, 6258, 6805, 7694, 9329, 10180, 10526, 11946, 13091, 14666, 15683, 17114, 18014]","[243, 478, 678, 1001, 1413, 1815, 2127, 2341, 3273, 3626, 4620, 4948, 5399, 6217, 6503, 7012, 7735, 8575, 9032, 9920, 10570, 11199, 11884, 13507, 14333]","[378, 767, 1038, 1323, 1713, 2047, 2454, 2877, 3662, 3788, 4395, 4857, 5251, 5790, 6036, 6759, 7557, 8127, 8470, 9395, 10113, 10406, 10915, 11557, 11896]","[110, 408, 498, 636, 813, 990, 1160, 1390, 1700, 1919, 2369, 2785, 3060, 3317, 3808, 4044, 4706, 5085, 5474, 6550, 6797, 7671, 8445, 9073, 9309]","[210, 508, 598, 688, 822, 952, 1290, 1425, 1748, 1967, 2189, 2414, 2504, 2761, 2856, 3449, 3914, 4147, 4331, 4805, 5100, 5779, 6172, 6462, 6801]",18014,14333,11896,9309,6801,-1599,-1181,-642,-1162,-120,-4704,25,dire,15989.0,17984.0,12872.0,14159.0,11067.0,11943.0,8421.0,9374.0,6185.0,7011.0
5,7517581617,43,21,129,110,26,"[0, 325, 759, 1200, 1646, 2285, 3006, 3262, 3763, 4159, 4856, 5426, 5891, 6516, 6851, 7184, 8505, 8600, 9407, 9502, 10029, 10387, 11242, 11431, 11914]","[201, 524, 784, 1205, 1711, 2152, 2683, 3050, 3508, 3922, 4482, 5168, 6030, 6815, 7361, 7613, 8052, 8147, 8798, 9540, 10268, 10453, 11408, 11927, 12022]","[68, 367, 786, 1126, 1532, 1870, 2415, 2662, 3121, 3809, 4268, 4905, 5272, 5523, 6118, 6349, 7006, 7155, 7426, 7747, 8089, 9388, 10308, 10846, 11227]","[68, 278, 405, 570, 700, 790, 925, 1253, 1386, 1700, 2160, 2568, 3224, 3513, 3719, 3884, 4211, 4587, 4805, 5096, 5397, 6126, 6269, 6436, 6577]","[68, 278, 368, 505, 687, 877, 1190, 1297, 1468, 1640, 1978, 2688, 3080, 3331, 3549, 3714, 3940, 4035, 4224, 4450, 4903, 5370, 5711, 6207, 6421]",11914,12022,11227,6577,6421,14,120,102,68,86,"[181, 395, 629, 1163, 1661, 2119, 2332, 2991, 3358, 3845, 4361, 5146, 5758, 6276, 6633, 7501, 8197, 9319, 11063, 12156, 13246, 14307, 15438, 16288, 17349]","[449, 896, 1307, 1608, 1911, 2159, 2655, 3041, 3420, 4061, 4497, 4763, 5121, 5776, 6524, 7995, 9078, 10253, 11467, 12259, 12893, 13040, 14035, 14470, 15001]","[314, 567, 728, 1252, 1611, 1934, 2178, 2617, 3191, 3671, 4030, 4488, 4789, 5370, 5961, 6987, 7462, 8761, 9406, 10113, 11254, 11796, 12624, 13544, 14028]","[314, 509, 599, 759, 954, 1110, 1200, 1380, 1580, 1715, 2008, 2212, 2302, 2581, 3393, 4186, 4697, 5948, 6469, 6878, 7342, 7783, 8403, 8665, 9056]","[181, 311, 444, 534, 664, 842, 932, 1238, 1373, 1987, 2122, 2299, 2480, 2665, 3022, 3375, 3959, 5105, 5669, 6245, 6642, 7052, 7817, 8219, 8712]",17349,15001,14028,9056,8712,-5435,-2979,-2801,-2479,-2291,-15985,25,dire,11370.0,16975.0,12214.0,15407.0,11318.0,14159.0,6593.0,8421.0,6293.0,8300.0
6,7517586007,46,42,97,50,86,"[0, 205, 463, 746, 1132, 1436, 2130, 2573, 2948, 3718, 4211, 4888, 5658, 5752, 6468, 7653, 7962, 8641, 9989, 10785, 11520, 12630, 13511, 14759, 16136]","[0, 223, 526, 1060, 1398, 1820, 2422, 2597, 2906, 3324, 4037, 4355, 4829, 5488, 5912, 6451, 6889, 7340, 7845, 8196, 8663, 9504, 10346, 11098, 11884]","[0, 173, 500, 818, 981, 1405, 2047, 2400, 3229, 3728, 4450, 5242, 5604, 6033, 6536, 6949, 7519, 7787, 8474, 8632, 8857, 9215, 9420, 9830, 10160]","[0, 356, 689, 992, 1130, 1548, 2128, 2339, 2584, 2825, 3064, 3265, 3628, 3722, 3871, 4317, 4574, 4977, 5189, 5554, 5648, 5851, 6684, 7020, 7353]","[0, 169, 259, 395, 564, 762, 947, 1134, 1378, 1859, 2279, 2417, 2653, 2803, 3133, 3612, 3933, 4247, 5069, 5461, 5590, 5948, 6392, 6559, 6729]",16136,11884,10160,7353,6729,22,29,71,14,26,"[0, 405, 687, 1095, 1538, 1792, 2021, 2651, 3174, 3539, 4088, 4354, 4744, 5525, 5875, 6498, 7168, 7451, 8231, 9421, 10273, 11154, 11705, 11890, 13081]","[0, 616, 865, 1199, 1661, 1957, 2278, 3006, 3441, 3621, 4143, 4233, 5369, 6024, 6695, 7327, 7713, 8214, 8568, 9047, 9958, 10423, 11081, 11266, 11864]","[0, 210, 348, 487, 912, 1193, 1328, 1756, 2342, 2564, 3228, 3370, 4225, 5159, 5732, 5917, 6359, 7046, 7750, 8069, 8949, 9666, 10105, 10542, 10836]","[0, 328, 526, 798, 1306, 1670, 1985, 2415, 2915, 3466, 3978, 4317, 5107, 6027, 6306, 6600, 7171, 7393, 7739, 8646, 8842, 9686, 9893, 10254, 10790]","[0, 268, 358, 587, 762, 852, 1072, 1388, 1478, 1568, 1703, 1793, 2059, 2606, 2701, 3094, 3298, 3393, 3955, 4607, 4800, 5283, 5520, 6003, 6245]",13081,11864,10836,10790,6245,3055,20,-676,-3437,484,-554,25,radiant,15329.0,12366.0,11565.0,11501.0,10106.0,10852.0,7279.0,10603.0,6499.0,6118.0
7,7517639708,48,51,61,5,26,"[0, 291, 659, 1030, 1472, 1870, 2430, 2817, 3265, 3758, 4864, 5440, 6388, 6942, 7557, 8412, 8938, 9622, 10244, 10774, 12797, 14093, 14188, 14678, 14862]","[0, 205, 495, 822, 1182, 1503, 1712, 2142, 2412, 2830, 3117, 3523, 4322, 4955, 5517, 5978, 6694, 7292, 7976, 8345, 9933, 10712, 10807, 12393, 13205]","[0, 242, 456, 741, 997, 1310, 1602, 2027, 2543, 2911, 3253, 4113, 4414, 4965, 5404, 5952, 6769, 7077, 7620, 8480, 9046, 9673, 10181, 10827, 11793]","[0, 170, 260, 350, 440, 530, 668, 797, 1233, 1323, 1568, 1898, 2395, 2653, 2748, 2944, 3199, 3294, 3549, 4150, 4741, 5397, 5567, 6291, 6550]","[0, 170, 298, 485, 657, 794, 884, 1010, 1281, 1418, 1869, 2125, 2462, 2556, 2973, 3252, 3380, 4048, 4143, 4477, 4974, 5816, 5911, 6413, 6597]",14862,13205,11793,6550,6597,69,6,39,114,84,"[0, 335, 711, 1158, 1586, 1903, 2774, 3156, 3565, 4358, 4812, 5248, 6318, 6891, 7885, 9258, 10118, 11095, 12293, 13657, 14015, 15172, 15267, 16445, 18270]","[0, 282, 599, 848, 1092, 1363, 1793, 1992, 2100, 2371, 2811, 3058, 3598, 4277, 5068, 5601, 6216, 6913, 7585, 8195, 8620, 9152, 11205, 11923, 13101]","[0, 251, 550, 952, 1246, 1664, 2118, 2478, 2808, 3234, 3625, 4254, 4556, 5143, 5472, 6215, 6675, 7306, 7754, 8538, 9446, 9794, 10444, 10763, 11073]","[0, 170, 298, 435, 525, 660, 750, 840, 930, 1020, 1286, 1469, 1803, 2266, 2937, 3133, 3449, 3822, 4515, 4915, 5551, 5736, 6615, 6857, 7574]","[0, 170, 260, 350, 440, 530, 705, 836, 926, 1016, 1126, 1360, 1612, 1920, 2454, 3055, 3463, 3821, 4112, 4531, 5008, 5193, 5852, 6258, 6537]",18270,13101,11073,7574,6537,-3408,104,720,-1024,60,-3548,25,dire,15118.0,16816.0,13053.0,12672.0,11474.0,11150.0,6759.0,7399.0,6551.0,6766.0
8,7519064617,6,25,129,7,84,"[0, 216, 378, 775, 1220, 1590, 2038, 2676, 3186, 3650, 4107, 4562, 5056, 5555, 6296, 6892, 7494, 8173, 8859, 10370, 11927, 12447, 13574, 14875, 16597]","[0, 367, 644, 1020, 1309, 1627, 2120, 2645, 3162, 3532, 3777, 4143, 4698, 5175, 5892, 6387, 7198, 7743, 8580, 8912, 10247, 11394, 12145, 13035, 15377]","[0, 251, 503, 790, 1040, 1377, 1818, 2468, 2914, 3751, 4216, 4592, 5160, 5370, 5750, 6118, 6592, 6752, 7548, 7867, 8724, 9180, 9540, 9770, 10250]","[0, 169, 259, 349, 439, 529, 663, 978, 1117, 1289, 1574, 1709, 2241, 2584, 2787, 3096, 3383, 3807, 4193, 4350, 5230, 5429, 5614, 6053, 6474]","[0, 169, 259, 446, 536, 672, 811, 1125, 1215, 1305, 1444, 1583, 1673, 1768, 1971, 2065, 2513, 2673, 2768, 2925, 3356, 3772, 4188, 4418, 4695]",16597,15377,10250,6474,4695,104,101,44,53,85,"[0, 368, 728, 1261, 1672, 2021, 2465, 2816, 3352, 3908, 4347, 4904, 5479, 6088, 6571, 7464, 8127, 8424, 9426, 10490, 10585, 11610, 11988, 12587, 12682]","[0, 316, 708, 1074, 1488, 1926, 2416, 2794, 3213, 3716, 4510, 5001, 5469, 5879, 6419, 7057, 7575, 8707, 9098, 9463, 10176, 10500, 11211, 12409, 12687]","[0, 354, 679, 1008, 1347, 1694, 1858, 2105, 2485, 3055, 3397, 3890, 4364, 4890, 5272, 5656, 6337, 6895, 7719, 7876, 8710, 9100, 9765, 10606, 10812]","[0, 244, 334, 424, 560, 650, 740, 902, 1090, 1364, 1630, 1950, 2429, 2759, 3085, 3658, 4102, 4421, 4858, 5413, 6222, 6317, 7039, 7671, 8066]","[0, 244, 334, 471, 599, 689, 826, 983, 1084, 1196, 1296, 1697, 1787, 1996, 2091, 2318, 2594, 3011, 3155, 3516, 3686, 4244, 4646, 5106, 5276]",12682,12687,10812,8066,5276,3915,2690,-562,-1592,-581,3870,25,radiant,15862.0,12822.0,13593.0,12852.0,10143.0,10995.0,6199.0,7972.0,4840.0,5526.0
9,7519118314,53,10,20,136,51,"[0, 250, 378, 653, 1061, 1371, 1809, 2009, 2504, 2909, 3633, 4609, 4871, 5506, 5910, 6332, 7103, 7803, 8659, 9407, 9838, 11044, 11523, 11715, 12567]","[0, 291, 568, 865, 1278, 1721, 2135, 2419, 3015, 3438, 4120, 4761, 5247, 5897, 6445, 6612, 7935, 8931, 9392, 9549, 10334, 11280, 11561, 11731, 12167]","[0, 239, 368, 723, 1136, 1958, 2287, 2538, 3248, 3515, 3823, 4397, 4870, 5478, 5961, 6191, 6754, 7282, 7930, 8087, 8638, 8993, 9271, 9365, 9795]","[0, 230, 320, 410, 592, 859, 1012, 1102, 1603, 1783, 2109, 2537, 2786, 3051, 3146, 3240, 3791, 4138, 4634, 4791, 5175, 5531, 5698, 5792, 6069]","[0, 429, 519, 624, 762, 892, 982, 1072, 1236, 1656, 1881, 2214, 2304, 2681, 2776, 2870, 3208, 3616, 4115, 4272, 4455, 4846, 5160, 5329, 5499]",12567,12167,9795,6069,5499,48,80,23,112,83,"[0, 209, 450, 657, 851, 1013, 1223, 1708, 1934, 2239, 2655, 2993, 3380, 3974, 4735, 5564, 6105, 6408, 7106, 7887, 8457, 8990, 9649, 10800, 11510]","[0, 283, 519, 754, 1151, 1543, 1895, 2243, 2471, 2818, 3231, 3726, 4054, 4594, 5065, 5638, 6187, 6778, 7387, 8250, 8376, 8549, 9108, 10143, 10589]","[0, 243, 515, 768, 1050, 1339, 1854, 2438, 2895, 3453, 4263, 4923, 5538, 6159, 6548, 7133, 7828, 8157, 8839, 9794, 10298, 10774, 11284, 12328, 12771]","[0, 209, 299, 471, 611, 763, 932, 1022, 1418, 1508, 1839, 2087, 2177, 2794, 2969, 3316, 3411, 3601, 3913, 4647, 5162, 5438, 5706, 6496, 7122]","[0, 209, 299, 441, 561, 688, 813, 1142, 1232, 1358, 1794, 2004, 2094, 2382, 2571, 2869, 2964, 3225, 3949, 4357, 4482, 4829, 5377, 6060, 6276]",11510,10589,12771,7122,6276,1057,1578,-2976,-1053,-777,-2171,25,dire,12039.0,11069.0,12260.0,10458.0,9535.0,12696.0,6044.0,6892.0,5563.0,6592.0
10,7519175015,54,14,96,5,79,"[0, 217, 612, 1047, 1568, 2083, 2758, 3014, 3646, 4211, 4809, 5524, 6269, 7004, 7759, 8602, 9356, 10011, 10590, 11638, 12640, 12734, 13527, 14902, 16618]","[0, 250, 871, 1656, 2116, 2874, 3311, 3943, 4470, 5191, 5690, 6320, 7167, 7826, 8472, 9109, 10023, 11333, 11780, 12845, 13705, 14845, 15012, 15789, 15884]","[0, 243, 543, 985, 1347, 1747, 2148, 2559, 3069, 3460, 4198, 4764, 5069, 5256, 5771, 6323, 7066, 7832, 8414, 9017, 9353, 9633, 10537, 10832, 11250]","[0, 130, 316, 454, 897, 1087, 1328, 1621, 1813, 2139, 2394, 2720, 2989, 3250, 3536, 3811, 4491, 4903, 5023, 5355, 5616, 5943, 6334, 6502, 6832]","[0, 130, 220, 358, 544, 682, 772, 907, 1086, 1220, 1310, 1503, 2006, 2318, 2413, 2762, 3010, 3456, 3752, 4003, 4365, 4588, 5137, 5489, 5584]",16618,15884,11250,6832,5584,10,17,2,88,20,"[0, 326, 618, 962, 1215, 1725, 2141, 2648, 3175, 3749, 4481, 4873, 5498, 6434, 7018, 7778, 8238, 8456, 9097, 9748, 9963, 11203, 12074, 12944, 13715]","[0, 327, 600, 690, 1110, 1485, 1956, 2820, 3368, 3885, 4277, 4704, 5253, 5818, 6349, 6943, 7327, 8370, 8774, 9586, 10678, 10883, 11835, 12926, 13728]","[0, 249, 423, 751, 1074, 1330, 1637, 1823, 2323, 2720, 3315, 3885, 4529, 5146, 5834, 6357, 7152, 7829, 8576, 8927, 9022, 10768, 11417, 12210, 12451]","[0, 259, 349, 473, 645, 735, 954, 1411, 1699, 2042, 2271, 2653, 3048, 3427, 3607, 3702, 4571, 5300, 5999, 6157, 6488, 7106, 7486, 8151, 8637]","[0, 210, 300, 390, 480, 713, 848, 938, 1104, 1259, 1597, 1687, 1982, 2280, 2375, 2470, 2653, 3016, 3211, 3369, 3547, 3767, 4092, 4547, 4788]",13715,13728,12451,8637,4788,2903,2156,-1201,-1805,796,2849,25,radiant,15239.0,13605.0,16287.0,13387.0,11369.0,12811.0,6861.0,8390.0,5570.0,4665.0
11,7519190619,65,113,47,136,66,"[0, 367, 695, 1355, 1741, 2154, 3095, 3759, 4336, 4917, 5553, 5973, 7249, 7556, 7968, 8907, 9894, 11184, 11892, 12930, 13503, 14853, 16146, 16958, 17945]","[0, 257, 541, 791, 1054, 1182, 1545, 2124, 2725, 2992, 3558, 3796, 4198, 4834, 5496, 6057, 7042, 7513, 8285, 8630, 9420, 10255, 11054, 11956, 12819]","[0, 205, 366, 647, 948, 1287, 1615, 2027, 2209, 2570, 3050, 3459, 3929, 4644, 5062, 5532, 5924, 6435, 6615, 7178, 7454, 7849, 8160, 8422, 9466]","[0, 170, 260, 578, 668, 805, 940, 1286, 1527, 1769, 1938, 2112, 2413, 2810, 3396, 3887, 4595, 4780, 5350, 5828, 6005, 6494, 6724, 7094, 7330]","[0, 170, 260, 370, 512, 693, 1174, 1497, 1682, 1968, 2240, 2458, 2724, 3386, 3834, 4240, 4776, 5537, 5667, 6189, 6340, 6925, 7314, 7556, 8024]",17945,12819,9466,7330,8024,109,93,96,5,85,"[0, 469, 711, 1275, 1481, 1923, 2123, 2462, 2891, 3159, 3483, 4039, 4646, 5022, 5497, 6006, 7084, 7564, 8026, 8592, 9548, 10315, 11388, 12268, 12872]","[0, 609, 1014, 1215, 1632, 1990, 2300, 2845, 3345, 3861, 4237, 4810, 5302, 6828, 7575, 7983, 8611, 9302, 10115, 10914, 11501, 12022, 12622, 13082, 13487]","[0, 307, 468, 876, 1052, 1582, 1792, 2065, 2529, 2917, 3119, 3439, 4085, 4584, 5104, 5684, 6009, 6813, 7103, 7756, 8610, 8999, 9369, 9551, 9717]","[0, 299, 435, 634, 724, 921, 1100, 1253, 1588, 1678, 1860, 2003, 2349, 2978, 3127, 3779, 4083, 4571, 4856, 5076, 5667, 5810, 6499, 6776, 7102]","[0, 299, 389, 885, 1011, 1187, 1326, 1507, 1695, 1913, 2003, 2201, 2474, 2900, 3135, 3320, 3748, 4068, 4494, 4905, 5152, 5471, 6081, 6381, 6560]",12872,13487,9717,7102,6560,5073,-668,-251,228,1464,5846,25,radiant,17558.0,12825.0,12709.0,13551.0,8324.0,10078.0,7422.0,7188.0,7918.0,6806.0
