,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,-637,-586,-512,-781,-696,-3212,dire,8988.0,9674.0,8505.0,8877.0,8354.0,8069.0,4420.0,5018.0,3237.0,4433.0
1,-3687,269,1462,-450,-1054,-3460,radiant,8871.0,13129.0,9871.0,9802.0,9701.0,8728.0,4189.0,4818.0,4090.0,5175.0
2,-97,-390,2082,416,-1117,894,dire,10181.0,9962.0,8561.0,8970.0,8796.0,6756.0,5530.0,4855.0,4027.0,4881.0
3,1334,642,402,-500,890,2768,radiant,10302.0,9289.0,9940.0,9813.0,8801.0,8581.0,4223.0,5313.0,4132.0,3414.0
4,257,151,-507,60,84,45,dire,11642.0,11220.0,9726.0,9546.0,8842.0,8950.0,6293.0,5892.0,4927.0,4690.0
5,-2654,-2719,-2366,-1782,-1795,-11316,dire,9932.0,11768.0,9267.0,12228.0,7822.0,9996.0,5173.0,7019.0,4552.0,6135.0
6,1364,-851,563,-3092,854,-1162,radiant,10603.0,8728.0,8307.0,9070.0,8934.0,8270.0,5528.0,8182.0,5460.0,4304.0
7,-2883,150,-58,-765,-54,-3610,dire,10815.0,13066.0,8515.0,8137.0,8110.0,8229.0,3874.0,4942.0,4509.0,4538.0
8,-120,-551,-9,-1063,-591,-2334,radiant,9395.0,9986.0,9126.0,9615.0,7962.0,8216.0,4575.0,5283.0,3079.0,3487.0
9,1520,1299,-1707,144,-85,1171,dire,9202.0,7630.0,9968.0,7875.0,8400.0,9348.0,4997.0,4255.0,4460.0,4285.0
10,2123,1710,1905,2551,2451,10740,radiant,11142.0,9332.0,9372.0,7328.0,9215.0,8124.0,7604.0,4935.0,6227.0,3874.0
11,1890,3259,90,-802,634,5071,radiant,11189.0,9618.0,12393.0,9278.0,8910.0,9151.0,5412.0,6458.0,4120.0,3529.0
12,4338,-2284,-578,752,1284,3512,radiant,12540.0,8542.0,8843.0,10735.0,7056.0,7574.0,5802.0,5273.0,6123.0,4864.0
13,2185,127,887,-72,-1544,1583,radiant,9645.0,8297.0,9723.0,9286.0,8563.0,7227.0,5748.0,5668.0,4270.0,5601.0
14,-943,2934,22,40,-751,1302,dire,10814.0,10038.0,9853.0,6724.0,8470.0,7709.0,4955.0,4609.0,4411.0,4891.0
15,-1294,-3699,-2372,-2485,-1628,-11478,dire,9445.0,9987.0,6614.0,10356.0,6254.0,8370.0,3998.0,5935.0,4081.0,5495.0
16,-1557,-1671,-1514,292,-1390,-5840,radiant,8963.0,10111.0,8340.0,9710.0,6685.0,7885.0,5225.0,4504.0,3389.0,4475.0
17,3332,4367,2174,2844,2948,15665,radiant,11294.0,8133.0,10881.0,6484.0,8696.0,6819.0,7860.0,5580.0,6717.0,4261.0
18,-1885,1831,1271,1042,-114,2145,radiant,9931.0,12127.0,9837.0,8761.0,8709.0,7348.0,6609.0,5808.0,4186.0,4346.0
19,-25,1406,1294,1020,1473,5168,dire,9204.0,9360.0,9822.0,8574.0,8660.0,6946.0,5445.0,4925.0,5234.0,3962.0
20,2002,-696,9,-3678,454,-1909,dire,10905.0,8807.0,8372.0,8900.0,8449.0,8099.0,5352.0,8432.0,4582.0,4016.0
21,-4296,-529,-58,-629,-951,-6463,dire,8696.0,13326.0,7868.0,8584.0,7263.0,7681.0,6434.0,6891.0,5583.0,6712.0
22,-7245,-5750,-4403,-3635,-2529,-23562,dire,6054.0,12448.0,5569.0,10671.0,5789.0,9503.0,3695.0,6453.0,4474.0,6297.0
23,-1979,2008,-215,607,542,963,dire,9835.0,11749.0,9197.0,7244.0,8443.0,8660.0,5913.0,5308.0,4874.0,4679.0
24,541,-2140,1703,655,1572,2331,dire,9297.0,8675.0,9381.0,11081.0,9373.0,7513.0,6001.0,5370.0,5609.0,3918.0
25,3715,3151,5452,1500,-97,13721,radiant,11329.0,8069.0,10110.0,7316.0,10781.0,5622.0,6817.0,5552.0,4686.0,4952.0
26,-3492,-2036,-1007,-900,-298,-7733,dire,8652.0,12431.0,7914.0,9625.0,6892.0,7654.0,3801.0,4822.0,4128.0,3834.0
27,3706,1388,2287,1423,1565,10369,radiant,13880.0,10225.0,9190.0,7785.0,8968.0,6799.0,5970.0,5119.0,5068.0,3482.0
28,325,-3232,-2283,-420,165,-5445,radiant,9226.0,8483.0,7250.0,9537.0,8092.0,10105.0,5162.0,4854.0,4852.0,4808.0
29,-1761,-2243,-3003,-215,177,-7045,dire,9999.0,11832.0,8447.0,11029.0,7746.0,11351.0,5105.0,5104.0,5649.0,5014.0
30,-1491,-294,631,182,1426,454,dire,8672.0,9753.0,8592.0,7902.0,10419.0,8497.0,4519.0,4065.0,5413.0,3480.0
31,-302,-524,-1333,-861,-63,-3083,dire,8756.0,8860.0,8634.0,8671.0,6746.0,8155.0,4845.0,5881.0,4777.0,4873.0
32,1263,-400,1093,1705,-553,3108,radiant,11221.0,9530.0,10493.0,10766.0,8838.0,8179.0,4738.0,3155.0,3736.0,4511.0
33,1,-1661,-2235,2246,395,-1254,radiant,9492.0,9642.0,8373.0,10356.0,6473.0,8367.0,7494.0,5873.0,5278.0,5121.0
34,1319,-2777,-2081,1169,-145,-2515,dire,10539.0,9246.0,6758.0,9567.0,5773.0,7751.0,5674.0,4552.0,5381.0,5061.0
35,2912,2005,4432,15,-71,9293,radiant,11756.0,8830.0,10473.0,8024.0,10101.0,5957.0,5493.0,5147.0,5019.0,5118.0
36,2412,-1207,-1064,-844,-515,-1218,dire,11231.0,8515.0,8640.0,9940.0,7613.0,8666.0,5170.0,6231.0,4974.0,5046.0
37,517,-1931,-1453,-954,-278,-4099,radiant,11821.0,10711.0,9000.0,9900.0,6943.0,7748.0,4457.0,4749.0,4784.0,4535.0
38,108,925,-679,445,474,1273,dire,10613.0,10023.0,8894.0,7833.0,7233.0,7908.0,5016.0,4514.0,4753.0,4332.0
39,1403,1934,3411,3364,802,10914,radiant,11560.0,10769.0,10381.0,8409.0,10372.0,7168.0,7528.0,4923.0,5984.0,5372.0
40,542,2405,1246,2617,1361,8171,radiant,10106.0,8735.0,11186.0,8670.0,8052.0,7405.0,7325.0,4237.0,5502.0,3003.0
41,352,-574,-436,-758,-416,-1832,radiant,11092.0,10339.0,8023.0,8311.0,7212.0,7251.0,5395.0,5577.0,4641.0,4580.0
42,-4156,-2685,-860,-2483,384,-9800,dire,7240.0,11340.0,7805.0,10225.0,7500.0,8513.0,4034.0,6413.0,5930.0,5776.0
43,3288,4514,3223,3150,2447,16622,radiant,12272.0,8469.0,11859.0,7283.0,10227.0,7111.0,8082.0,5257.0,6140.0,4015.0
44,-636,247,-1452,68,-1874,-3647,dire,9227.0,9612.0,9114.0,8806.0,7785.0,9522.0,6358.0,6262.0,3901.0,5665.0
45,3230,1385,2691,2048,2199,11553,radiant,10585.0,8076.0,9331.0,8778.0,8871.0,6296.0,5831.0,3964.0,4840.0,3258.0
46,-1983,-3057,-3952,-613,2458,-7147,radiant,8131.0,10127.0,7959.0,11095.0,4675.0,8612.0,3950.0,4819.0,6381.0,3923.0
